pando , 1292004 , --save_freq=50 --preset pando mujoco openai --tag=new_openai_02 ----es_sigma=0.02 --pop_per_cpu=2 --net=mujoco-light --env=Walker2d-v2 
pando , 1292005 , --save_freq=50 --preset pando mujoco openai --tag=new_openai_02 --es_sigma=0.02 --pop_per_cpu=2 --net=mujoco-light --env=HalfCheetah-v2 
pando , 1292006 , --save_freq=50 --preset pando mujoco openai --tag=new_openai_02 --es_sigma=0.02 --pop_per_cpu=2 --net=mujoco-light --env=InvertedDoublePendulum-v2 
pando , 1292007 , --save_freq=50 --preset pando mujoco openai --tag=new_openai_02 --es_sigma=0.02 --pop_per_cpu=2 --net=mujoco-discrete --env=Swimmer-v2 
pando , 1292008 , --save_freq=50 --preset pando mujoco openai --tag=new_openai_02 --es_sigma=0.02 --pop_per_cpu=2 --net=mujoco-discrete --env=Hopper-v2 
pando , 1292009 , --save_freq=50 --preset pando mujoco openai --tag=new_openai_02 --es_sigma=0.02 --pop_per_cpu=2 --net=mujoco-light --env=InvertedPendulum-v2 
pando , 1292010 , --save_freq=50 --preset pando mujoco openai --tag=new_openai_02 --es_sigma=0.02 --pop_per_cpu=2 --net=mujoco-light --env=Walker2d-v2 
pando , 1292011 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-light --env=HalfCheetah-v2 
pando , 1292012 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-light --env=InvertedDoublePendulum-v2 
pando , 1292013 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-discrete --env=Swimmer-v2 
pando , 1292014 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-discrete --env=Hopper-v2 
pando , 1292015 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-light --env=InvertedPendulum-v2 
pando , 1292016 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-light --env=Walker2d-v2 
pando , 1292017 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-light --env=HalfCheetah-v2 
